step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,17440,32,0.19835535878400606,0.0,0.3360995850622407,0.18753719906186941,0.0,0.4120234604105572
2,42816,64,0.10862627647560123,0.0,0.31951640759930916,,,
3,72288,96,0.08697116042387311,0.0,0.44227886056971516,,,
4,86400,128,0.15545448606333875,0.0,0.376599634369287,,,
5,104608,160,0.12140871961978125,0.0,0.42833607907743,,,
6,151744,192,0.06290993169587651,0.0,0.44028103044496486,,,
7,173792,224,0.11480877521800875,0.0,0.4182076813655761,,,
8,198912,256,0.1104586594567296,0.0,0.41589403973509936,,,
9,217376,288,0.18155159604581084,0.0,0.39838337182448036,0.047804540739247836,0.0,0.5007052186177715
10,252224,320,0.06835692612444273,0.0,0.3901192504258944,,,
11,269920,352,0.12466596851578801,0.0,0.4461805555555556,,,
12,285824,384,0.1882043808381055,0.0,0.3708609271523179,,,
13,309408,416,0.11302895923314127,0.0,0.3957703927492447,,,
14,322496,448,0.19508255433662433,0.0,0.41569767441860467,,,
15,340448,480,0.14643718285364152,0.0,0.3626707132018209,,,
16,368640,512,0.09473595964718372,0.0,0.3869047619047619,,,
17,386592,544,0.14906490762545047,0.0,0.39162929745889385,0.11210234163429844,0.0,0.44655172413793104
18,401216,576,0.16101345640888884,0.0,0.41935483870967744,,,
19,428896,608,0.09538243357459836,0.0,0.3482587064676617,,,
20,445312,640,0.14647056383022097,0.0,0.40096618357487923,,,
21,485792,672,0.051531064071073114,0.0,0.4486301369863014,,,
22,498368,704,0.1724551555118952,0.0,0.4873417721518987,,,
23,519392,736,0.10756342887446527,0.0,0.4363929146537842,,,
24,536320,768,0.1460077425474424,0.0,0.4144144144144144,,,
25,570400,800,0.07310557285262913,0.0,0.39365079365079364,0.11538991327754025,0.0,0.41968911917098445
26,583232,832,0.18104188505580093,0.0,0.3718861209964413,,,
27,618848,864,0.062335663075608984,0.0,0.4671875,,,
28,635776,896,0.12627467574260598,0.0,0.46798029556650245,,,
29,653984,928,0.12077796840882486,0.0,0.4382207578253707,,,
30,686016,960,0.0674631911572844,0.0,0.44297520661157025,,,
31,699872,992,0.17467690213451922,0.0,0.4643377001455604,,,
32,713216,1024,0.17368064971163005,0.0,0.43159609120521175,,,
33,733472,1056,0.115796767339288,0.0,0.41384615384615386,0.27815937575530325,0.0,0.405777166437414
34,753728,1088,0.11166814203364706,0.0,0.44375,,,
35,766048,1120,0.19898742744444506,0.0,0.362012987012987,,,
36,811648,1152,0.04796296628578954,0.0,0.4638364779874214,,,
37,821920,1184,0.23156978393090433,0.0,0.41823899371069184,,,
38,841664,1216,0.12035237787995744,0.0,0.45646067415730335,,,
39,863456,1248,0.1013443527732483,0.0,0.4606918238993711,,,
40,874496,1280,0.2049112838984835,0.0,0.4577259475218659,,,
41,884256,1312,0.2701628045279825,0.0,0.42916666666666664,0.05696329496011036,0.0,0.5017921146953405
42,896576,1344,0.18135254320363625,0.0,0.34375,,,
43,930400,1376,0.06931281290679107,0.0,0.39834710743801655,,,
44,950912,1408,0.10633036705026082,0.0,0.42634315424610053,,,
45,965280,1440,0.1410476183512929,0.0,0.43327239488117003,,,
46,973504,1472,0.2791139142086838,0.0,0.4494875549048316,,,
47,987360,1504,0.16131954341671453,0.0,0.42759795570698467,,,
48,1000704,1536,0.18206031689980565,0.0,0.4444444444444444,,,
49,1015840,1568,0.1657060735368631,0.0,0.3682539682539683,0.19722433541974413,0.0,0.45714285714285713
50,1031744,1600,0.1325688329627361,0.0,0.493993993993994,,,
51,1048160,1632,0.12824035062993291,0.0,0.4590443686006826,,,
52,1096576,1664,0.04865763412827898,0.0,0.4383116883116883,,,
53,1123488,1696,0.0789214804239041,0.0,0.4728682170542636,,,
54,1146816,1728,0.09342510449417735,0.0,0.45107794361525705,,,
55,1184992,1760,0.0599577842292456,0.0,0.4435857805255023,,,
56,1206784,1792,0.09542799430219363,0.0,0.4391891891891892,,,
57,1223200,1824,0.1407617205757708,0.0,0.425531914893617,0.22338338010962042,0.0,0.459546925566343
58,1237568,1856,0.16268242415627784,0.0,0.4520123839009288,,,
59,1249120,1888,0.22640291215914668,0.0,0.4233983286908078,,,
60,1263744,1920,0.13784813818576203,0.0,0.46504065040650405,,,
61,1276320,1952,0.18628048579400966,0.0,0.4126738794435858,,,
62,1289152,1984,0.1995372504436992,0.0,0.4392655367231638,,,
63,1319136,2016,0.06958439657354325,0.0,0.45161290322580644,,,
64,1332736,2048,0.19803222697508083,0.0,0.4008438818565401,,,
65,1348384,2080,0.12434831299977102,0.0,0.4657534246575342,0.07949733613596746,0.0,0.46325878594249204
66,1364288,2112,0.16508817616324986,0.0,0.44170096021947874,,,
67,1373536,2144,0.25506837554424766,0.0,0.39368770764119604,,,
68,1398656,2176,0.08552965647017385,0.0,0.4977973568281938,,,
69,1411232,2208,0.1674215346364246,0.0,0.4697452229299363,,,
70,1428160,2240,0.12189704044156509,0.0,0.4796747967479675,,,
71,1438176,2272,0.19354605694540025,0.0,0.49916805324459235,,,
72,1466880,2304,0.08006115251495305,0.0,0.4395770392749245,,,
73,1487648,2336,0.11757405946733938,0.0,0.475765306122449,0.10361417237218293,0.0,0.4517241379310345
74,1505856,2368,0.12688622279058287,0.0,0.421474358974359,,,
75,1537888,2400,0.07409897162713906,0.0,0.4472511144130758,,,
