step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,17440,32,0.03945190810053387,0.0,0.8506224066390041,0.08110914604584414,0.0,0.7126099706744868
2,42816,64,0.025824656434812625,0.0625,0.8290155440414507,,,
3,72288,96,0.02627138113071205,0.03125,0.8125937031484258,,,
4,86400,128,0.04935760208952315,0.0,0.7842778793418648,,,
5,104608,160,0.042489101415965694,0.0,0.785831960461285,,,
6,151744,192,0.02514179002129596,0.0,0.7353629976580797,,,
7,173792,224,0.04627759479936422,0.03125,0.7467994310099573,,,
8,198912,256,0.04968414251768255,0.0,0.7072847682119205,,,
9,217376,288,0.07511552374898522,0.03125,0.7263279445727483,0.032854732635390495,0.0,0.6361071932299013
10,252224,320,0.028399747594180437,0.0,0.6984667802385008,,,
11,269920,352,0.045925862037864223,0.0,0.7760416666666666,,,
12,285824,384,0.06338697806400015,0.0,0.766887417218543,,,
13,309408,416,0.04127095312278017,0.0,0.7552870090634441,,,
14,322496,448,0.0745987009170723,0.0,0.7558139534883721,,,
15,340448,480,0.05229720748409668,0.0,0.7496206373292867,,,
16,368640,512,0.04379036152963001,0.0,0.7053571428571429,,,
17,386592,544,0.062481009366215624,0.0,0.7010463378176383,0.059074373190483434,0.03125,0.6741379310344827
18,401216,576,0.06996850164101709,0.03125,0.7258064516129032,,,
19,428896,608,0.04316845515765869,0.0,0.6898839137645107,,,
20,445312,640,0.059800535634130944,0.0,0.7294685990338164,,,
21,485792,672,0.021353684910218294,0.0,0.7431506849315068,,,
22,498368,704,0.07065343435992974,0.0,0.7753164556962026,,,
23,519392,736,0.05283877011314417,0.0,0.6827697262479872,,,
24,536320,768,0.060340312792006315,0.03125,0.7447447447447447,,,
25,570400,800,0.03483279351733588,0.0,0.6841269841269841,0.07085004711840594,0.0,0.6355785837651122
26,583232,832,0.0812468124681102,0.0,0.7046263345195729,,,
27,618848,864,0.0291590054679991,0.0,0.71875,,,
28,635776,896,0.05445151018515783,0.0,0.7454844006568144,,,
29,653984,928,0.05806550532351123,0.0,0.7051070840197694,,,
30,686016,960,0.03209166994344414,0.0,0.6975206611570248,,,
