step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,11552,32,0.043562030812464944,0.0625,0.9011703511053316,0.08962119428785653,0.0,0.7425742574257426
2,25152,64,0.04634683666742604,0.03125,0.8304278922345484,,,
3,44384,96,0.03124472792133928,0.03125,0.8263772954924875,,,
4,73344,128,0.02675851855885342,0.03125,0.803921568627451,,,
5,88992,160,0.04737004966463118,0.03125,0.8203125,,,
6,106176,192,0.037906041603744056,0.0,0.8245315161839863,,,
7,145888,224,0.0184303466880962,0.0,0.8167202572347267,,,
8,165632,256,0.03422628230368981,0.0,0.8269841269841269,,,
9,198432,288,0.02258659616395991,0.0,0.7897435897435897,0.03336734564935476,0.0,0.7258064516129032
10,233536,320,0.020180298044532547,0.03125,0.821256038647343,,,
11,247392,352,0.05828343951424628,0.0,0.8165266106442577,,,
12,277120,384,0.03028441353585617,0.0,0.7869507323568575,,,
13,305056,416,0.026888222084490536,0.03125,0.8120184899845917,,,
14,317376,448,0.04826010841706458,0.0,0.8535433070866142,,,
15,339680,480,0.029069840835374148,0.0,0.8160919540229885,,,
16,352768,512,0.05215508238454502,0.0,0.8488023952095808,,,
17,371488,544,0.043830514914966444,0.0,0.7959183673469388,0.07229100914785468,0.0,0.7096385542168675
18,407104,576,0.021312543247075873,0.03125,0.7759856630824373,,,
19,422496,608,0.053824121480618096,0.03125,0.7903225806451613,,,
20,441984,640,0.049918518611862035,0.0,0.780281690140845,,,
21,470432,672,0.026473773350132467,0.0,0.7972136222910217,,,
22,497856,704,0.02977931520069061,0.03125,0.8011958146487295,,,
23,518880,736,0.03611912948498631,0.03125,0.8017366136034733,,,
24,540416,768,0.03338980790569949,0.0625,0.7901639344262295,,,
25,558368,800,0.044574788495284956,0.03125,0.7886056971514243,0.040595716075451455,0.0,0.7279635258358662
26,577344,832,0.05264228557618901,0.0,0.7607192254495159,,,
27,598624,864,0.039676053117536754,0.0,0.8070652173913043,,,
28,612736,896,0.07188935149267647,0.0,0.7467811158798283,,,
29,650912,928,0.022804724322388052,0.0,0.7916083916083916,,,
30,677056,960,0.03963991447108858,0.03125,0.7163461538461539,,,
31,709856,992,0.024031344203219628,0.0,0.8171262699564587,,,
32,726784,1024,0.04781265659913227,0.0,0.7840909090909091,,,
33,742432,1056,0.04996690863758383,0.0,0.7783687943262412,0.059397135371698474,0.0,0.7178729689807977
34,766528,1088,0.037911021478055834,0.0,0.8138364779874214,,,
35,810336,1120,0.016981344571659195,0.0,0.7836456558773425,,,
36,825728,1152,0.05244746199937421,0.0,0.8078541374474053,,,
37,852128,1184,0.028640073519223194,0.0,0.7823834196891192,,,
38,864448,1216,0.060664647780464154,0.0,0.802013422818792,,,
39,889312,1248,0.034881913842987965,0.0,0.7837078651685393,,,
40,920576,1280,0.02239456519461061,0.0,0.7872340425531915,,,
41,929056,1312,0.1060606893842112,0.03125,0.7536,0.05693680692041535,0.0,0.7100494233937397
42,938048,1344,0.07396237689638337,0.0,0.8009950248756219,,,
43,958048,1376,0.03723528067529612,0.03125,0.7942664418212478,,,
44,970880,1408,0.07293086551165508,0.0,0.7135506003430532,,,
45,990624,1440,0.04609760977545089,0.0,0.7736131934032984,,,
46,1020608,1472,0.036311816502064706,0.0,0.7235543018335684,,,
47,1029856,1504,0.08354062630558207,0.0,0.7814029363784666,,,
48,1067008,1536,0.020785278284138807,0.03125,0.8286908077994429,,,
49,1076000,1568,0.08695234031755184,0.0,0.7987987987987988,0.07049083546841099,0.0,0.7112375533428165
50,1095488,1600,0.05207657568069488,0.03125,0.7373887240356083,,,
51,1124960,1632,0.02833497825632782,0.0,0.7901907356948229,,,
52,1133440,1664,0.09764154223650788,0.0,0.7836065573770492,,,
53,1183392,1696,0.01587839369896785,0.03125,0.8074074074074075,,,
54,1193920,1728,0.08721609317624002,0.0,0.8026490066225166,,,
55,1258720,1760,0.016479120598720507,0.0,0.7454798331015299,,,
56,1284608,1792,0.03356656112174179,0.03125,0.7803468208092486,,,
57,1301792,1824,0.04907104878257638,0.0,0.7580128205128205,0.06726205998931004,0.0,0.6060606060606061
58,1324096,1856,0.043835110545106575,0.0,0.803921568627451,,,
59,1365344,1888,0.01909744769793171,0.0,0.7938144329896907,,,
60,1382784,1920,0.046051463352765346,0.03125,0.7786624203821656,,,
61,1393312,1952,0.07103332007848907,0.0,0.762906309751434,,,
62,1412800,1984,0.040949503343231886,0.0,0.7704402515723271,,,
63,1438432,2016,0.03740523763346712,0.0,0.7211221122112211,,,
64,1468160,2048,0.027289093710067578,0.0,0.7744,,,
65,1516576,2080,0.020528527703782058,0.03125,0.7613469985358712,0.07016941438949367,0.0,0.6957295373665481
66,1527104,2112,0.08333730889608774,0.0,0.7269681742043551,,,
67,1547104,2144,0.03928353252441332,0.0,0.7951807228915663,,,
68,1559680,2176,0.06124368083157361,0.0,0.7512864493996569,,,
69,1572256,2208,0.07128137446315642,0.0,0.7160068846815835,,,
70,1616832,2240,0.01931951189577684,0.0,0.7717908082408875,,,
71,1643744,2272,0.02720620111348487,0.0,0.7800369685767098,,,
72,1664000,2304,0.03758251994801462,0.0,0.8068181818181818,,,
73,1685536,2336,0.05465855651295668,0.0,0.7512135922330098,0.15641630105638388,0.0,0.6295081967213115
74,1702464,2368,0.058901794584965916,0.0,0.7432216905901117,,,
75,1715040,2400,0.0803335704460555,0.03125,0.7349397590361446,,,
76,1726848,2432,0.0759669709337407,0.0,0.7821917808219178,,,
77,1737632,2464,0.062487666874034585,0.0,0.7980456026058632,,,
78,1749952,2496,0.06128647855336483,0.0625,0.7711038961038961,,,
79,1761760,2528,0.0716826126429745,0.0,0.7606299212598425,,,
80,1786880,2560,0.029732918526278504,0.0625,0.7710622710622711,,,
81,1798944,2592,0.08025562564579282,0.0,0.7366818873668188,0.08427640351855516,0.0,0.706953642384106
82,1808960,2624,0.07175233914230722,0.0,0.7841269841269841,,,
83,1823328,2656,0.06679929433779722,0.0,0.7719546742209632,,,
84,1834368,2688,0.07847362206081404,0.0625,0.7755102040816326,,,
85,1871008,2720,0.021322532025214124,0.03125,0.8064516129032258,,,
86,1882304,2752,0.0819320938257795,0.0,0.7546875,,,
87,1897184,2784,0.05651642257764924,0.0,0.7602040816326531,,,
88,1953024,2816,0.012104715150235727,0.0,0.8021778584392014,,,
89,1970208,2848,0.06221564616224233,0.03125,0.745269286754003,0.028467119513137747,0.0,0.6846473029045643
90,1996352,2880,0.03547295076160181,0.0,0.7598684210526315,,,
91,2012768,2912,0.05418800388809356,0.0,0.8061911170928667,,,
92,2025856,2944,0.061149545357505206,0.0,0.8068181818181818,,,
93,2037664,2976,0.08552094440976069,0.0625,0.7382352941176471,,,
94,2059200,3008,0.0313170660031942,0.03125,0.8464912280701754,,,
95,2092256,3040,0.024891114104827805,0.0,0.7215686274509804,,,
96,2155776,3072,0.018106874899916584,0.0,0.71045197740113,,,
97,2181408,3104,0.046334955471575866,0.03125,0.7076719576719577,0.0434829825939057,0.0,0.763986013986014
98,2199104,3136,0.051696217968445535,0.0,0.7515151515151515,,,
99,2231136,3168,0.023747382059267422,0.0,0.7988252569750367,,,
100,2265984,3200,0.025813878883678535,0.0,0.7608695652173914,,,
101,2278560,3232,0.08167832952700595,0.0,0.7452966714905933,,,
102,2305216,3264,0.03028733056160641,0.0625,0.7978560490045942,,,
103,2324960,3296,0.038191578924730255,0.03125,0.7931596091205212,,,
104,2358784,3328,0.026364828567031613,0.0,0.771689497716895,,,
105,2371104,3360,0.06577679223137162,0.0,0.7429643527204502,0.029252897757608313,0.0,0.7300509337860781
106,2390848,3392,0.04368358457477309,0.0,0.7654516640253566,,,
107,2411104,3424,0.042788186516610795,0.03125,0.7598627787307033,,,
108,2456448,3456,0.022617355265900023,0.0,0.714859437751004,,,
109,2494368,3488,0.02086922925241772,0.0,0.7849117174959872,,,
110,2511040,3520,0.055316859185008525,0.0,0.7473200612557427,,,
111,2525152,3552,0.04701385566999552,0.03125,0.8207705192629816,,,
112,2566144,3584,0.027276848835402157,0.0,0.6775244299674267,,,
113,2580768,3616,0.05998804748170915,0.0,0.7776203966005666,0.060716903199807125,0.0,0.6464088397790055
114,2607168,3648,0.03602340952513977,0.0,0.7142857142857143,,,
115,2637152,3680,0.027691722399299873,0.03125,0.7980769230769231,,,
116,2654080,3712,0.05463678291655916,0.0,0.7093023255813954,,,
117,2699680,3744,0.02002725707481006,0.0,0.7421383647798742,,,
118,2722752,3776,0.039413497653895777,0.03125,0.7601957585644372,,,
119,2736864,3808,0.05310803035673469,0.0,0.8031496062992126,,,
120,2753024,3840,0.046145247970595625,0.0,0.7877280265339967,,,
121,2766624,3872,0.05764020047085423,0.0,0.8023088023088023,0.08107694956728399,0.0,0.6570644718792867
122,2791488,3904,0.03346144052610673,0.0,0.7961165048543689,,,
123,2809440,3936,0.052581796794255134,0.0,0.753822629969419,,,
124,2819712,3968,0.08195715591531097,0.0,0.7837837837837838,,,
125,2835104,4000,0.058099953987807956,0.0,0.7781954887218046,,,
126,2858944,4032,0.02994451213093812,0.0625,0.8240997229916898,,,
127,2872800,4064,0.0565706835656815,0.0,0.8287671232876712,,,
128,2886144,4096,0.057036900168353735,0.03125,0.8305084745762712,,,
129,2901536,4128,0.047662404615646935,0.0,0.7509090909090909,0.0742165533606716,0.0,0.8222222222222222
130,2935104,4160,0.02266847485085503,0.0,0.768270944741533,,,
131,2947168,4192,0.08411531368660352,0.03125,0.7567567567567568,,,
132,2969728,4224,0.036212369693778085,0.0,0.7443478260869565,,,
133,3017376,4256,0.019135851570492805,0.0,0.7585089141004863,,,
134,3031488,4288,0.053501650034666864,0.0,0.7844036697247706,,,
135,3045600,4320,0.05179227822088112,0.03125,0.8154859967051071,,,
136,3054848,4352,0.08312592990400833,0.0,0.7302158273381295,,,
137,3096864,4384,0.021315330683765246,0.0,0.7247706422018348,0.0776774961998346,0.03125,0.7430555555555556
138,3130176,4416,0.02429181638311212,0.0,0.7586837294332724,,,
139,3137888,4448,0.12037749665619292,0.03125,0.7462462462462462,,,
140,3152000,4480,0.06237872517607988,0.0,0.7635467980295566,,,
141,3179424,4512,0.02830909034831041,0.0,0.7597864768683275,,,
142,3230656,4544,0.016340865672625313,0.0,0.801994301994302,,,
143,3244000,4576,0.0707385183429006,0.0,0.7319587628865979,,,
144,3294976,4608,0.02344407981084814,0.0,0.6940874035989717,,,
145,3320096,4640,0.03027660959757779,0.0625,0.8013698630136986,0.0824161676710849,0.0,0.7170731707317073
146,3342400,4672,0.03953904543601439,0.0,0.7666151468315301,,,
147,3364960,4704,0.035279135719090374,0.0,0.7677100494233937,,,
148,3380096,4736,0.07184376580179606,0.0,0.7425876010781671,,,
149,3393184,4768,0.05981846201755877,0.0,0.7829457364341085,,,
150,3410624,4800,0.04565064018811415,0.03125,0.7495769881556683,,,
151,3430112,4832,0.04092984342981178,0.03125,0.7543554006968641,,,
152,3445760,4864,0.06744220418940726,0.0,0.6981981981981982,,,
153,3457056,4896,0.06186436512646096,0.0,0.7986348122866894,0.10905648617741492,0.0,0.6365105008077544
154,3472960,4928,0.057287491083873265,0.03125,0.7412199630314233,,,
155,3485280,4960,0.06679563065328159,0.0,0.796373779637378,,,
156,3500160,4992,0.04894609677678451,0.0,0.792778649921507,,,
157,3536800,5024,0.026743651254970534,0.03125,0.7798833819241983,,,
158,3554496,5056,0.04609851975246956,0.0,0.7485714285714286,,,
159,3566816,5088,0.06573250699892395,0.0,0.7744479495268138,,,
160,3619328,5120,0.016216254275436617,0.03125,0.7512864493996569,,,
161,3648032,5152,0.029190536862005633,0.0,0.722735674676525,0.033207586322955375,0.0,0.7165605095541401
162,3659328,5184,0.09696513779796656,0.0,0.6873156342182891,,,
163,3672672,5216,0.06862426175015207,0.0,0.7706821480406386,,,
164,3693696,5248,0.050825915430173896,0.0,0.6826446280991736,,,
165,3714720,5280,0.05099772099386921,0.0,0.7009966777408638,,,
166,3725760,5312,0.08780859989130986,0.03125,0.7279521674140508,,,
167,3742688,5344,0.04780631679147006,0.03125,0.7414965986394558,,,
168,3770368,5376,0.03545357582536936,0.0,0.7196110210696921,,,
169,3790368,5408,0.04089122655035546,0.03125,0.7976190476190477,0.07772170142827083,0.0,0.685064935064935
170,3832128,5440,0.02553469838330885,0.03125,0.7694174757281553,,,
171,3857504,5472,0.04069133207713722,0.0,0.7759815242494227,,,
172,3897216,5504,0.024451311101542732,0.0,0.768033946251768,,,
173,3909280,5536,0.07714436498130686,0.0,0.7591463414634146,,,
174,3924672,5568,0.05258642553668351,0.03125,0.7650085763293311,,,
175,3947232,5600,0.038910740604501746,0.0,0.7486725663716814,,,
176,3968256,5632,0.038911880978912856,0.03125,0.759170653907496,,,
177,4007968,5664,0.027062113360840984,0.0,0.7318116975748931,0.03822795349902211,0.0,0.7126917712691772
178,4025920,5696,0.04080822896784706,0.0,0.8128,,,
179,4037216,5728,0.0748235950050628,0.0,0.798941798941799,,,
