step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,11808,32,0.03778608993873131,0.0625,0.8862179487179487,0.04965321209096506,0.0,0.7573770491803279
2,28736,64,0.03139097853996198,0.03125,0.8648648648648649,,,
3,42336,96,0.04099084726689346,0.0,0.8739130434782608,,,
4,66944,128,0.020913022677598384,0.0,0.8975672215108835,,,
5,75936,160,0.07686330280734001,0.03125,0.8480325644504749,,,
6,98752,192,0.025905172463925822,0.0,0.861271676300578,,,
7,112608,224,0.03342995557137224,0.03125,0.8819444444444444,,,
8,124160,256,0.049151533607630485,0.03125,0.8355640535372849,,,
9,135968,288,0.052820081558909125,0.03125,0.8517985611510791,0.0361850743730478,0.0,0.695583596214511
10,171328,320,0.01634141483985883,0.0,0.848966613672496,,,
11,185952,352,0.047876266432576996,0.0,0.7990115321252059,,,
12,205952,384,0.029447130610860864,0.0,0.8560371517027864,,,
13,255392,416,0.011645048336177355,0.03125,0.8585055643879174,,,
14,295104,448,0.017180244107086313,0.03125,0.8352272727272727,,,
15,312288,480,0.03661742238466392,0.0,0.8521229868228404,,,
16,331776,512,0.031082183194247298,0.09375,0.8629518072289156,,,
17,353568,544,0.030348452742022365,0.0,0.8333333333333334,0.07678394219066516,0.0,0.706959706959707
18,379968,576,0.021830912822852627,0.03125,0.8509316770186336,,,
19,394336,608,0.04123736900309576,0.0,0.8355555555555556,,,
20,427904,640,0.020388804581956875,0.03125,0.8398203592814372,,,
21,457632,672,0.026295348954454834,0.0,0.8680947012401353,,,
22,474048,704,0.03794338777033593,0.0,0.8462732919254659,,,
23,493024,736,0.03218179861178977,0.03125,0.8708388814913449,,,
24,517120,768,0.028513797488896916,0.03125,0.8398268398268398,,,
25,532768,800,0.0418277846478971,0.0,0.8131147540983606,0.035015031979063,0.0,0.7525179856115108
26,555072,832,0.026852092663728483,0.03125,0.8453292496171516,,,
27,574304,864,0.030870965905866646,0.0,0.8370967741935483,,,
28,626816,896,0.014414975354905907,0.0,0.8225308641975309,,,
29,656032,928,0.019859191910725264,0.0,0.8218390804597702,,,
30,688064,960,0.017817566015846328,0.0,0.8471454880294659,,,
31,698848,992,0.07194477957170253,0.0,0.826265389876881,,,
32,706560,1024,0.0803376543418251,0.0,0.8202614379084967,,,
33,732192,1056,0.026191411877975423,0.03125,0.8123893805309734,0.05204571475501021,0.0,0.7437673130193906
34,758848,1088,0.022939000739988988,0.0,0.8372093023255814,,,
35,784736,1120,0.033300886494078384,0.0,0.7979651162790697,,,
36,812416,1152,0.02142317717917917,0.03125,0.8806366047745358,,,
37,821664,1184,0.06821570556166644,0.0,0.8298507462686567,,,
38,835008,1216,0.053621188953101896,0.03125,0.8144499178981938,,,
39,851936,1248,0.04904012953145116,0.0,0.8015384615384615,,,
40,859904,1280,0.07961218389421428,0.0,0.8083182640144665,,,
41,874528,1312,0.04182692717840398,0.0,0.8168761220825853,0.03318703257321095,0.03125,0.791023842917251
42,890176,1344,0.04823129579748334,0.03125,0.8090379008746356,,,
43,905824,1376,0.0525285336470267,0.0,0.7972602739726027,,,
44,931456,1408,0.03425539719940927,0.0,0.8179775280898877,,,
45,978592,1440,0.025872990561877123,0.0,0.6894865525672371,,,
46,1015232,1472,0.019162365294509653,0.0,0.8395953757225434,,,
47,1039328,1504,0.026165832228524373,0.0,0.8243992606284658,,,
48,1064960,1536,0.02674514889507006,0.0,0.8287461773700305,,,
49,1076256,1568,0.06416502065988264,0.03125,0.7804054054054054,0.06853317139767472,0.0,0.6739130434782609
50,1091648,1600,0.05918787139808327,0.0,0.7515432098765432,,,
51,1110624,1632,0.03583306919803153,0.0,0.7950530035335689,,,
52,1126784,1664,0.04197077101884786,0.0,0.8088962108731467,,,
53,1162400,1696,0.02138720817706358,0.03125,0.8185595567867036,,,
54,1172416,1728,0.06536746566264558,0.0,0.801948051948052,,,
55,1188576,1760,0.03410472203128304,0.0,0.8476357267950964,,,
56,1203968,1792,0.04564783170815038,0.0,0.8382147838214784,,,
57,1244448,1824,0.015637226821369313,0.0,0.8414634146341463,0.0700789445215565,0.03125,0.7491289198606271
58,1261376,1856,0.0405989842788475,0.03125,0.8037865748709122,,,
59,1286496,1888,0.028985593190544577,0.03125,0.7956448911222781,,,
60,1319552,1920,0.026637898726202393,0.0,0.7860262008733624,,,
61,1329824,1952,0.06181252624213275,0.03125,0.8137931034482758,,,
62,1354432,1984,0.026531775270622403,0.0,0.8273026315789473,,,
63,1365984,2016,0.06803636426416641,0.0,0.7899543378995434,,,
64,1383424,2048,0.04242408863691951,0.03125,0.814540059347181,,,
65,1391648,2080,0.09061726258686881,0.0,0.7729636048526863,0.0821429957627422,0.0,0.7809364548494984
66,1401664,2112,0.07869852828755024,0.0,0.7616666666666667,,,
67,1413472,2144,0.07978001446654925,0.0,0.8016336056009334,,,
68,1425024,2176,0.06036829450786934,0.0,0.826530612244898,,,
69,1437088,2208,0.06832261684340915,0.0,0.8035230352303523,,,
70,1461952,2240,0.027804611986140537,0.03125,0.8016949152542373,,,
71,1473504,2272,0.06637841016973081,0.03125,0.782608695652174,,,
72,1484800,2304,0.06712796642839114,0.0,0.8218623481781376,,,
73,1504800,2336,0.03206412703551664,0.0,0.8397058823529412,0.05113898265428369,0.0,0.7131147540983607
74,1521216,2368,0.04310818285189458,0.0,0.8080110497237569,,,
75,1562976,2400,0.020820742815254235,0.0,0.7620915032679738,,,
76,1584256,2432,0.04137635695807089,0.03125,0.7850589777195282,,,
77,1640864,2464,0.012215015278415765,0.03125,0.8216039279869067,,,
78,1663168,2496,0.03064094276517181,0.0,0.8042763157894737,,,
79,1676512,2528,0.047524399667785135,0.0,0.8101933216168717,,,
80,1683712,2560,0.09991092058890806,0.0,0.7723440134907251,,,
81,1714464,2592,0.026210987482146144,0.0,0.7811023622047244,0.09564183996209188,0.03125,0.7001675041876047
82,1727808,2624,0.049130200212298476,0.0,0.7917448405253283,,,
83,1750368,2656,0.030001245221774886,0.0,0.8179012345679012,,,
84,1769088,2688,0.04599897886127761,0.0,0.7627118644067796,,,
85,1785760,2720,0.048043176504601236,0.0,0.8050490883590463,,,
86,1795520,2752,0.08242700321833774,0.03125,0.7758913412563667,,,
87,1808864,2784,0.049557440359268894,0.03125,0.8285229202037352,,,
88,1831680,2816,0.03177727859418991,0.0,0.7842465753424658,,,
89,1857824,2848,0.030694205403799177,0.0,0.8079561042524005,0.11796454940589209,0.0,0.6907216494845361
90,1875776,2880,0.04375363886358702,0.0,0.8005698005698005,,,
91,1911136,2912,0.019685562659385362,0.03125,0.8033057851239669,,,
92,1922432,2944,0.05742783843957107,0.03125,0.802536231884058,,,
93,1983136,2976,0.012144086778924841,0.03125,0.7868020304568528,,,
94,2036928,3008,0.014947550944394669,0.03125,0.8386683738796414,,,
95,2052064,3040,0.04401108224526596,0.03125,0.8195956454121306,,,
96,2066688,3072,0.050709373046258305,0.03125,0.8180428134556575,,,
97,2086688,3104,0.038215982368435576,0.0,0.8313106796116505,0.07643504957879982,0.0,0.672
98,2099776,3136,0.06143260978660607,0.0,0.8155467720685112,,,
99,2112096,3168,0.043187924494365044,0.0,0.8204633204633205,,,
100,2143360,3200,0.02238749305549047,0.0625,0.7950819672131147,,,
101,2160800,3232,0.039984382215700706,0.0,0.8165266106442577,,,
102,2179520,3264,0.03815719930042801,0.0625,0.8382147838214784,,,
